month,day,hour,dni_w_m2
1,12,5.0,-0.0
1,12,6.0,-0.0
1,12,7.0,5.58
1,12,8.0,0.0
1,12,9.0,108.45
1,12,10.0,548.53
1,12,11.0,705.93
1,12,12.0,626.18
1,12,13.0,539.03
1,12,14.0,849.26
1,12,15.0,620.5
1,12,16.0,827.52
1,12,17.0,71.7
1,12,18.0,0.0
1,12,19.0,-0.0
1,12,20.0,-0.0
1,12,21.0,-0.0
1,12,22.0,-0.0
1,12,23.0,-0.0
1,13,0.0,-0.0
1,13,1.0,-0.0
1,13,2.0,-0.0
1,13,3.0,-0.0
1,13,4.0,-0.0
1,13,5.0,-0.0
1,13,6.0,-0.0
1,13,7.0,33.83
1,13,8.0,66.04
1,13,9.0,283.74
1,13,10.0,270.65
1,13,11.0,691.68
1,13,12.0,417.98
1,13,13.0,625.98
1,13,14.0,817.58
1,13,15.0,560.33
1,13,16.0,670.8
1,13,17.0,73.86
1,13,18.0,216.86
1,13,19.0,-0.0
1,13,20.0,-0.0
1,13,21.0,-0.0
1,13,22.0,-0.0
1,13,23.0,-0.0
1,14,0.0,-0.0
1,14,1.0,-0.0
1,14,2.0,-0.0
1,14,3.0,-0.0
1,14,4.0,-0.0
1,14,5.0,-0.0
1,14,6.0,-0.0
1,14,7.0,125.31
1,14,8.0,704.48
1,14,9.0,0.0
1,14,10.0,0.0
1,14,11.0,0.0
1,14,12.0,885.02
1,14,13.0,2.05
1,14,14.0,817.72
1,14,15.0,302.98
1,14,16.0,0.0
1,14,17.0,0.0
1,14,18.0,0.0
1,14,19.0,-0.0
1,14,20.0,-0.0
1,14,21.0,-0.0
1,14,22.0,-0.0
1,14,23.0,-0.0
1,15,0.0,-0.0
1,15,1.0,-0.0
1,15,2.0,-0.0
1,15,3.0,-0.0
1,15,4.0,-0.0
1,15,5.0,-0.0
1,15,6.0,-0.0
1,15,7.0,0.0
1,15,8.0,56.65
1,15,9.0,8.13
1,15,10.0,310.45
1,15,11.0,57.28
1,15,12.0,0.0
1,15,13.0,0.0
1,15,14.0,10.93
1,15,15.0,182.0
1,15,16.0,903.37
1,15,17.0,376.56
1,15,18.0,5.23
1,15,19.0,-0.0
1,15,20.0,-0.0
1,15,21.0,-0.0
1,15,22.0,-0.0
1,15,23.0,-0.0
1,16,0.0,-0.0
1,16,1.0,-0.0
1,16,2.0,-0.0
1,16,3.0,-0.0
1,16,4.0,-0.0
1,16,5.0,-0.0
1,16,6.0,-0.0
1,16,7.0,0.0
1,16,8.0,0.0
1,16,9.0,0.0
1,16,10.0,0.0
1,16,11.0,0.0
1,16,12.0,0.0
1,16,13.0,0.0
1,16,14.0,0.0
1,16,15.0,5.01
1,16,16.0,30.16
1,16,17.0,30.7
1,16,18.0,36.41
1,16,19.0,-0.0
1,16,20.0,-0.0
1,16,21.0,-0.0
1,16,22.0,-0.0
1,16,23.0,-0.0
1,17,0.0,-0.0
1,17,1.0,-0.0
1,17,2.0,-0.0
1,17,3.0,-0.0
1,17,4.0,-0.0
1,17,5.0,-0.0
1,17,6.0,-0.0
1,17,7.0,0.0
1,17,8.0,0.0
1,17,9.0,0.0
1,17,10.0,170.69
1,17,11.0,600.32
1,17,12.0,734.86
1,17,13.0,626.02
1,17,14.0,390.53
1,17,15.0,336.62
1,17,16.0,172.66
1,17,17.0,7.07
1,17,18.0,0.0
1,17,19.0,-0.0
1,17,20.0,-0.0
1,17,21.0,-0.0
1,17,22.0,-0.0
1,17,23.0,-0.0
1,18,0.0,-0.0
1,18,1.0,-0.0
1,18,2.0,-0.0
1,18,3.0,-0.0
1,18,4.0,-0.0
1,18,5.0,-0.0
1,18,6.0,-0.0
1,18,7.0,332.31
1,18,8.0,557.37
1,18,9.0,723.83
1,18,10.0,824.62
1,18,11.0,801.87
1,18,12.0,332.85
1,18,13.0,551.81
1,18,14.0,300.74
1,18,15.0,28.74
1,18,16.0,687.75
1,18,17.0,0.0
1,18,18.0,0.0
1,18,19.0,-0.0
1,18,20.0,-0.0
1,18,21.0,-0.0
1,18,22.0,-0.0
1,18,23.0,-0.0
1,19,0.0,-0.0
1,19,1.0,-0.0
1,19,2.0,-0.0
1,19,3.0,-0.0
1,19,4.0,-0.0
1,19,5.0,-0.0
1,19,6.0,-0.0
1,19,7.0,95.92
1,19,8.0,107.35
1,19,9.0,85.08
1,19,10.0,418.26
1,19,11.0,587.06
1,19,12.0,638.68
1,19,13.0,418.38
1,19,14.0,472.36
1,19,15.0,8.73
1,19,16.0,757.48
1,19,17.0,91.38
1,19,18.0,0.0
1,19,19.0,-0.0
1,19,20.0,-0.0
1,19,21.0,-0.0
1,19,22.0,-0.0
1,19,23.0,-0.0
1,20,0.0,-0.0
1,20,1.0,-0.0
1,20,2.0,-0.0
1,20,3.0,-0.0
1,20,4.0,-0.0
1,20,5.0,-0.0
1,20,6.0,-0.0
1,20,7.0,48.45
1,20,8.0,588.55
1,20,9.0,668.51
1,20,10.0,632.8
1,20,11.0,637.67
1,20,12.0,290.45
1,20,13.0,493.67
1,20,14.0,419.65
1,20,15.0,859.67
1,20,16.0,546.6
1,20,17.0,98.17
1,20,18.0,76.62
1,20,19.0,-0.0
1,20,20.0,-0.0
1,20,21.0,-0.0
1,20,22.0,-0.0
1,20,23.0,-0.0
1,21,0.0,-0.0
1,21,1.0,-0.0
1,21,2.0,-0.0
1,21,3.0,-0.0
1,21,4.0,-0.0
1,21,5.0,-0.0
1,21,6.0,-0.0
1,21,7.0,0.0
1,21,8.0,0.0
1,21,9.0,31.17
1,21,10.0,0.0
1,21,11.0,0.0
1,21,12.0,0.0
1,21,13.0,0.0
1,21,14.0,0.0
1,21,15.0,0.0
1,21,16.0,0.0
1,21,17.0,0.0
1,21,18.0,0.0
1,21,19.0,-0.0
1,21,20.0,-0.0
1,21,21.0,-0.0
1,21,22.0,-0.0
1,21,23.0,-0.0
1,22,0.0,-0.0
1,22,1.0,-0.0
1,22,2.0,-0.0
1,22,3.0,-0.0
1,22,4.0,-0.0
1,22,5.0,-0.0
1,22,6.0,-0.0
1,22,7.0,123.6
1,22,8.0,0.0
1,22,9.0,0.0
1,22,10.0,0.0
1,22,11.0,0.0
1,22,12.0,0.0
1,22,13.0,0.0
1,22,14.0,0.0
1,22,15.0,0.0
1,22,16.0,0.0
1,22,17.0,0.0
1,22,18.0,0.0
1,22,19.0,-0.0
1,22,20.0,-0.0
1,22,21.0,-0.0
1,22,22.0,-0.0
1,22,23.0,-0.0
1,23,0.0,-0.0
1,23,1.0,-0.0
1,23,2.0,-0.0
1,23,3.0,-0.0
1,23,4.0,-0.0
1,23,5.0,-0.0
1,23,6.0,-0.0
1,23,7.0,0.0
1,23,8.0,0.0
1,23,9.0,0.0
1,23,10.0,0.0
1,23,11.0,0.0
1,23,12.0,0.0
1,23,13.0,0.0
1,23,14.0,787.81
1,23,15.0,451.65
1,23,16.0,0.0
1,23,17.0,650.18
1,23,18.0,409.44
1,23,19.0,-0.0
1,23,20.0,-0.0
1,23,21.0,-0.0
1,23,22.0,-0.0
1,23,23.0,-0.0
1,24,0.0,-0.0
1,24,1.0,-0.0
1,24,2.0,-0.0
1,24,3.0,-0.0
1,24,4.0,-0.0
1,24,5.0,-0.0
1,24,6.0,-0.0
1,24,7.0,12.61
1,24,8.0,0.0
1,24,9.0,0.0
1,24,10.0,448.54
1,24,11.0,0.0
1,24,12.0,575.64
1,24,13.0,937.3
1,24,14.0,293.36
1,24,15.0,0.0
1,24,16.0,0.0
1,24,17.0,0.0
1,24,18.0,0.0
1,24,19.0,-0.0
1,24,20.0,-0.0
1,24,21.0,-0.0
1,24,22.0,-0.0
1,24,23.0,-0.0
1,25,0.0,-0.0
1,25,1.0,-0.0
1,25,2.0,-0.0
1,25,3.0,-0.0
1,25,4.0,-0.0
1,25,5.0,-0.0
1,25,6.0,-0.0
1,25,7.0,133.72
1,25,8.0,427.21
1,25,9.0,666.12
1,25,10.0,731.21
1,25,11.0,650.48
1,25,12.0,587.63
1,25,13.0,482.53
1,25,14.0,420.66
1,25,15.0,0.0
1,25,16.0,0.0
1,25,17.0,0.0
1,25,18.0,0.0
1,25,19.0,-0.0
1,25,20.0,-0.0
1,25,21.0,-0.0
1,25,22.0,-0.0
1,25,23.0,-0.0
1,26,0.0,-0.0
1,26,1.0,-0.0
1,26,2.0,-0.0
1,26,3.0,-0.0
1,26,4.0,-0.0
1,26,5.0,-0.0
1,26,6.0,-0.0
1,26,7.0,57.87
1,26,8.0,132.61
1,26,9.0,597.54
1,26,10.0,70.33
1,26,11.0,308.12
1,26,12.0,266.04
1,26,13.0,587.95
1,26,14.0,601.73
1,26,15.0,373.32
1,26,16.0,118.58
1,26,17.0,110.85
1,26,18.0,0.0
1,26,19.0,-0.0
1,26,20.0,-0.0
1,26,21.0,-0.0
1,26,22.0,-0.0
1,26,23.0,-0.0
1,27,0.0,-0.0
1,27,1.0,-0.0
1,27,2.0,-0.0
1,27,3.0,-0.0
1,27,4.0,-0.0
1,27,5.0,-0.0
1,27,6.0,-0.0
1,27,7.0,12.99
1,27,8.0,0.0
1,27,9.0,0.0
1,27,10.0,0.0
1,27,11.0,0.0
1,27,12.0,75.68
1,27,13.0,83.35
1,27,14.0,60.44
1,27,15.0,328.44
1,27,16.0,65.44
1,27,17.0,2.31
1,27,18.0,0.0
1,27,19.0,-0.0
1,27,20.0,-0.0
1,27,21.0,-0.0
1,27,22.0,-0.0
1,27,23.0,-0.0
1,28,0.0,-0.0
1,28,1.0,-0.0
1,28,2.0,-0.0
1,28,3.0,-0.0
1,28,4.0,-0.0
1,28,5.0,-0.0
1,28,6.0,-0.0
1,28,7.0,65.56
1,28,8.0,7.69
1,28,9.0,0.0
1,28,10.0,10.24
1,28,11.0,124.3
1,28,12.0,182.97
1,28,13.0,165.55
1,28,14.0,211.33
1,28,15.0,3.7
1,28,16.0,0.0
1,28,17.0,0.0
1,28,18.0,0.0
1,28,19.0,-0.0
1,28,20.0,-0.0
1,28,21.0,-0.0
1,28,22.0,-0.0
1,28,23.0,-0.0
1,29,0.0,-0.0
1,29,1.0,-0.0
1,29,2.0,-0.0
1,29,3.0,-0.0
1,29,4.0,-0.0
1,29,5.0,-0.0
1,29,6.0,-0.0
1,29,7.0,0.0
1,29,8.0,0.0
1,29,9.0,0.0
1,29,10.0,0.0
1,29,11.0,0.0
1,29,12.0,0.0
1,29,13.0,0.0
1,29,14.0,66.79
1,29,15.0,311.7
1,29,16.0,191.18
1,29,17.0,0.0
1,29,18.0,0.0
1,29,19.0,-0.0
1,29,20.0,-0.0
1,29,21.0,-0.0
1,29,22.0,-0.0
1,29,23.0,-0.0
1,30,0.0,-0.0
1,30,1.0,-0.0
1,30,2.0,-0.0
1,30,3.0,-0.0
1,30,4.0,-0.0
1,30,5.0,-0.0
1,30,6.0,-0.0
1,30,7.0,0.0
1,30,8.0,0.0
1,30,9.0,1.66
1,30,10.0,0.0
1,30,11.0,57.18
1,30,12.0,0.0
1,30,13.0,0.0
1,30,14.0,124.85
1,30,15.0,177.23
1,30,16.0,203.39
1,30,17.0,0.0
1,30,18.0,194.43
1,30,19.0,-0.0
1,30,20.0,-0.0
1,30,21.0,-0.0
1,30,22.0,-0.0
1,30,23.0,-0.0
1,31,0.0,-0.0
1,31,1.0,-0.0
1,31,2.0,-0.0
1,31,3.0,-0.0
1,31,4.0,-0.0
1,31,5.0,-0.0
1,31,6.0,-0.0
1,31,7.0,6.74
1,31,8.0,2.58
1,31,9.0,6.64
1,31,10.0,199.72
1,31,11.0,470.49
1,31,12.0,550.1
1,31,13.0,665.83
1,31,14.0,268.84
1,31,15.0,783.24
1,31,16.0,21.71
1,31,17.0,0.0
1,31,18.0,0.0
1,31,19.0,-0.0
1,31,20.0,-0.0
1,31,21.0,-0.0
1,31,22.0,-0.0
1,31,23.0,-0.0
2,1,0.0,-0.0
2,1,1.0,-0.0
2,1,2.0,-0.0
2,1,3.0,-0.0
2,1,4.0,-0.0
2,1,5.0,-0.0
2,1,6.0,-0.0
2,1,7.0,163.3
2,1,8.0,290.13
2,1,9.0,665.8
2,1,10.0,367.49
2,1,11.0,863.82
2,1,12.0,1024.15
2,1,13.0,718.04
2,1,14.0,586.66
2,1,15.0,409.08
2,1,16.0,0.0
2,1,17.0,0.0
2,1,18.0,0.0
2,1,19.0,-0.0
2,1,20.0,-0.0
2,1,21.0,-0.0
2,1,22.0,-0.0
2,1,23.0,-0.0
2,2,0.0,-0.0
2,2,1.0,-0.0
2,2,2.0,-0.0
2,2,3.0,-0.0
2,2,4.0,-0.0
2,2,5.0,-0.0
2,2,6.0,-0.0
2,2,7.0,295.21
2,2,8.0,690.67
2,2,9.0,737.8
2,2,10.0,836.26
2,2,11.0,927.33
2,2,12.0,222.26
2,2,13.0,0.0
2,2,14.0,0.0
2,2,15.0,0.0
2,2,16.0,0.0
2,2,17.0,0.0
2,2,18.0,0.0
2,2,19.0,-0.0
2,2,20.0,-0.0
2,2,21.0,-0.0
2,2,22.0,-0.0
2,2,23.0,-0.0
2,3,0.0,-0.0
2,3,1.0,-0.0
2,3,2.0,-0.0
2,3,3.0,-0.0
2,3,4.0,-0.0
2,3,5.0,-0.0
2,3,6.0,-0.0
2,3,7.0,62.33
2,3,8.0,356.53
2,3,9.0,663.54
2,3,10.0,567.39
2,3,11.0,912.82
2,3,12.0,411.7
2,3,13.0,476.37
2,3,14.0,233.87
2,3,15.0,31.89
2,3,16.0,9.28
2,3,17.0,604.38
2,3,18.0,0.0
2,3,19.0,-0.0
2,3,20.0,-0.0
2,3,21.0,-0.0
2,3,22.0,-0.0
2,3,23.0,-0.0
2,4,0.0,-0.0
2,4,1.0,-0.0
2,4,2.0,-0.0
2,4,3.0,-0.0
2,4,4.0,-0.0
2,4,5.0,-0.0
2,4,6.0,-0.0
2,4,7.0,0.0
2,4,8.0,2.61
2,4,9.0,189.72
2,4,10.0,320.23
2,4,11.0,698.44
2,4,12.0,786.33
2,4,13.0,283.02
2,4,14.0,760.08
2,4,15.0,622.55
2,4,16.0,0.0
2,4,17.0,0.0
2,4,18.0,0.0
2,4,19.0,-0.0
2,4,20.0,-0.0
2,4,21.0,-0.0
2,4,22.0,-0.0
2,4,23.0,-0.0
2,5,0.0,-0.0
2,5,1.0,-0.0
2,5,2.0,-0.0
2,5,3.0,-0.0
2,5,4.0,-0.0
2,5,5.0,-0.0
2,5,6.0,-0.0
2,5,7.0,176.13
2,5,8.0,196.02
2,5,9.0,446.33
2,5,10.0,579.03
2,5,11.0,771.82
2,5,12.0,594.56
2,5,13.0,153.54
2,5,14.0,287.11
2,5,15.0,0.0
2,5,16.0,0.0
2,5,17.0,0.0
2,5,18.0,0.0
2,5,19.0,-0.0
2,5,20.0,-0.0
2,5,21.0,-0.0
2,5,22.0,-0.0
2,5,23.0,-0.0
2,6,0.0,-0.0
2,6,1.0,-0.0
2,6,2.0,-0.0
2,6,3.0,-0.0
2,6,4.0,-0.0
2,6,5.0,-0.0
2,6,6.0,-0.0
2,6,7.0,326.76
2,6,8.0,515.93
2,6,9.0,819.93
2,6,10.0,636.71
2,6,11.0,641.0
2,6,12.0,668.58
2,6,13.0,926.79
2,6,14.0,581.35
2,6,15.0,581.34
2,6,16.0,6.18
2,6,17.0,0.0
2,6,18.0,0.0
2,6,19.0,-0.0
2,6,20.0,-0.0
2,6,21.0,-0.0
2,6,22.0,-0.0
2,6,23.0,-0.0
2,7,0.0,-0.0
2,7,1.0,-0.0
2,7,2.0,-0.0
2,7,3.0,-0.0
2,7,4.0,-0.0
2,7,5.0,-0.0
2,7,6.0,-0.0
2,7,7.0,0.0
2,7,8.0,383.11
2,7,9.0,181.76
2,7,10.0,781.52
2,7,11.0,0.0
2,7,12.0,0.0
2,7,13.0,29.26
2,7,14.0,0.0
2,7,15.0,0.0
2,7,16.0,0.0
2,7,17.0,0.0
2,7,18.0,0.0
2,7,19.0,-0.0
2,7,20.0,-0.0
2,7,21.0,-0.0
2,7,22.0,-0.0
2,7,23.0,-0.0
2,8,0.0,-0.0
2,8,1.0,-0.0
2,8,2.0,-0.0
2,8,3.0,-0.0
2,8,4.0,-0.0
2,8,5.0,-0.0
2,8,6.0,-0.0
2,8,7.0,21.65
2,8,8.0,57.84
2,8,9.0,477.2
2,8,10.0,479.17
2,8,11.0,745.97
2,8,12.0,970.97
2,8,13.0,955.04
2,8,14.0,576.41
2,8,15.0,56.24
2,8,16.0,800.78
2,8,17.0,672.48
2,8,18.0,195.46
2,8,19.0,-0.0
2,8,20.0,-0.0
2,8,21.0,-0.0
2,8,22.0,-0.0
2,8,23.0,-0.0
2,9,0.0,-0.0
2,9,1.0,-0.0
2,9,2.0,-0.0
2,9,3.0,-0.0
2,9,4.0,-0.0
2,9,5.0,-0.0
2,9,6.0,-0.0
2,9,7.0,0.0
2,9,8.0,28.97
2,9,9.0,156.93
2,9,10.0,149.9
2,9,11.0,175.48
2,9,12.0,355.71
2,9,13.0,572.54
2,9,14.0,83.37
2,9,15.0,91.65
2,9,16.0,0.0
2,9,17.0,258.54
2,9,18.0,0.0
2,9,19.0,-0.0
2,9,20.0,-0.0
2,9,21.0,-0.0
2,9,22.0,-0.0
2,9,23.0,-0.0
2,10,0.0,-0.0
2,10,1.0,-0.0
2,10,2.0,-0.0
2,10,3.0,-0.0
2,10,4.0,-0.0
2,10,5.0,-0.0
2,10,6.0,-0.0
2,10,7.0,80.59
2,10,8.0,76.51
2,10,9.0,175.38
2,10,10.0,745.68
2,10,11.0,701.73
2,10,12.0,161.53
2,10,13.0,63.47
2,10,14.0,71.58
2,10,15.0,0.0
2,10,16.0,286.88
2,10,17.0,292.99
2,10,18.0,256.86
2,10,19.0,-0.0
2,10,20.0,-0.0
2,10,21.0,-0.0
2,10,22.0,-0.0
2,10,23.0,-0.0
2,11,0.0,-0.0
2,11,1.0,-0.0
2,11,2.0,-0.0
2,11,3.0,-0.0
2,11,4.0,-0.0
2,11,5.0,-0.0
2,11,6.0,-0.0
2,11,7.0,339.44
2,11,8.0,684.41
2,11,9.0,853.91
2,11,10.0,431.77
2,11,11.0,253.22
2,11,12.0,420.42
2,11,13.0,686.84
2,11,14.0,846.89
2,11,15.0,1029.49
2,11,16.0,496.61
2,11,17.0,556.55
2,11,18.0,222.26
2,11,19.0,-0.0
2,11,20.0,-0.0
2,11,21.0,-0.0
2,11,22.0,-0.0
2,11,23.0,-0.0
2,12,0.0,-0.0
2,12,1.0,-0.0
2,12,2.0,-0.0
2,12,3.0,-0.0
2,12,4.0,-0.0
2,12,5.0,-0.0
2,12,6.0,-0.0
2,12,7.0,104.03
2,12,8.0,629.89
2,12,9.0,804.12
2,12,10.0,930.14
2,12,11.0,484.39
2,12,12.0,369.51
2,12,13.0,910.06
2,12,14.0,982.16
2,12,15.0,995.07
2,12,16.0,306.93
2,12,17.0,501.95
2,12,18.0,0.0
2,12,19.0,-0.0
2,12,20.0,-0.0
2,12,21.0,-0.0
2,12,22.0,-0.0
2,12,23.0,-0.0
2,13,0.0,-0.0
2,13,1.0,-0.0
2,13,2.0,-0.0
2,13,3.0,-0.0
2,13,4.0,-0.0
2,13,5.0,-0.0
2,13,6.0,-0.0
2,13,7.0,29.92
2,13,8.0,445.28
2,13,9.0,421.46
2,13,10.0,814.81
2,13,11.0,751.6
2,13,12.0,369.39
2,13,13.0,518.27
2,13,14.0,336.18
2,13,15.0,367.44
2,13,16.0,706.5
2,13,17.0,628.57
2,13,18.0,437.48
2,13,19.0,-0.0
2,13,20.0,-0.0
2,13,21.0,-0.0
2,13,22.0,-0.0
2,13,23.0,-0.0
2,14,0.0,-0.0
2,14,1.0,-0.0
2,14,2.0,-0.0
2,14,3.0,-0.0
2,14,4.0,-0.0
2,14,5.0,-0.0
2,14,6.0,-0.0
2,14,7.0,278.57
2,14,8.0,583.91
2,14,9.0,729.45
2,14,10.0,860.89
2,14,11.0,637.51
2,14,12.0,425.07
2,14,13.0,888.31
2,14,14.0,220.86
2,14,15.0,46.38
2,14,16.0,0.0
2,14,17.0,353.66
2,14,18.0,5.11
2,14,19.0,-0.0
2,14,20.0,-0.0
2,14,21.0,-0.0
2,14,22.0,-0.0
2,14,23.0,-0.0
2,15,0.0,-0.0
2,15,1.0,-0.0
2,15,2.0,-0.0
2,15,3.0,-0.0
2,15,4.0,-0.0
2,15,5.0,-0.0
2,15,6.0,-0.0
2,15,7.0,128.79
2,15,8.0,0.0
2,15,9.0,652.71
2,15,10.0,661.01
2,15,11.0,938.52
2,15,12.0,654.14
2,15,13.0,682.89
2,15,14.0,794.73
2,15,15.0,435.76
2,15,16.0,71.0
2,15,17.0,110.36
2,15,18.0,446.31
2,15,19.0,-0.0
2,15,20.0,-0.0
2,15,21.0,-0.0
2,15,22.0,-0.0
2,15,23.0,-0.0
2,16,0.0,-0.0
2,16,1.0,-0.0
2,16,2.0,-0.0
2,16,3.0,-0.0
2,16,4.0,-0.0
2,16,5.0,-0.0
2,16,6.0,-0.0
2,16,7.0,99.07
2,16,8.0,87.81
2,16,9.0,197.54
