# fixed mirror figure, mode=median, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
153,47235.6725853162,-19565.656212653,4.770752533701016e-09,-1.161166222004446e-06,8.189717177175902e-09
154,49385.3954619717,-13232.776831927,6.769451488552564e-09,-1.1612777422633232e-06,3.8279041840633825e-09
155,50690.1205300545,-6673.480970787849,8.532474769431402e-09,-1.1624781522493513e-06,4.93069703540361e-09
156,51127.5235819115,-4.5410363098163e-11,9.296369563627038e-09,-1.1644000859126202e-06,5.8917424539092205e-09
157,50690.1205300545,6673.48097078776,9.724338006048403e-09,-1.1665821446200353e-06,5.887647813840761e-09
158,49385.3954619717,13232.7768319269,9.376150490151967e-09,-1.165523384541994e-06,1.175500289672385e-08
159,47235.6725853162,19565.6562126529,1.3036696983856289e-08,-1.166411831156508e-06,2.6914375517034743e-08
160,44277.734254523304,25563.761790955698,2.6717870603578443e-08,-1.1681531427253191e-06,4.645141333584174e-08
161,40562.191614528405,31124.4643174015,2.942098301669155e-08,-1.1707374462012042e-06,8.689903236114286e-08
162,36152.6186300447,36152.6186300447,3.001508302755456e-08,-1.1735158853324261e-06,1.1929224373717803e-07
163,31124.4643174015,40562.191614528405,2.92424781546876e-08,-1.1777861510088918e-06,1.444220038537807e-07
164,25563.761790955698,44277.734254523304,3.023338817959201e-08,-1.1821115703277076e-06,1.7390688348732735e-07
165,19565.6562126529,47235.6725853162,2.6908549571097907e-08,-1.1845464834895048e-06,2.059056582684471e-07
166,13232.7768319269,49385.3954619717,3.227527346841799e-08,-1.1851172034009224e-06,2.401228007534933e-07
167,6673.480970787809,50690.1205300545,3.877351206180878e-08,-1.184658025562176e-06,2.4393599335332933e-07
168,3.1306579051459398e-12,51127.5235819115,2.4218529890554375e-11,-1.1840276914580794e-06,2.3669588991913516e-07
169,-6673.4809707878,50690.1205300545,-3.8771976270057685e-08,-1.184601152975513e-06,2.439184819070479e-07
170,-13232.7768319269,49385.3954619717,-3.224874129085184e-08,-1.1851254824901955e-06,2.398862912618165e-07
171,-19565.6562126529,47235.6725853162,-2.6884679762674387e-08,-1.1845625959636298e-06,2.0602379444562492e-07
172,-25563.761790955698,44277.734254523304,-3.025037503207091e-08,-1.1820844385994128e-06,1.7344456095224619e-07
173,-31124.4643174015,40562.191614528405,-2.9138630253634138e-08,-1.1778091973195834e-06,1.4435188774303586e-07
174,-36152.6186300447,36152.6186300447,-2.9785489595312224e-08,-1.1735324497199788e-06,1.191546656565944e-07
175,-40562.191614528405,31124.4643174015,-2.935369025009448e-08,-1.1707298829717834e-06,8.740344363177371e-08
176,-44277.734254523304,25563.761790955698,-2.663355873922288e-08,-1.168158905988181e-06,4.677416942208846e-08
177,-47235.6725853162,19565.6562126529,-1.3100457822014954e-08,-1.1664189172862813e-06,2.7238591228635062e-08
178,-49385.3954619717,13232.7768319269,-9.58168195587306e-09,-1.16552116823826e-06,1.1660192648157401e-08
179,-50690.1205300545,6673.48097078776,-9.683143831922472e-09,-1.1665837215333986e-06,5.787726515211234e-09
