# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
69,35509.817663482405,-18980.3929767134,-7.759336464180108e-08,-1.3801950186914729e-06,8.359812640301838e-08
70,38530.3974519658,-11688.0682851266,-4.94645935606397e-08,-1.385185377257717e-06,3.05882087561823e-08
71,40070.2756744661,-3946.5776840865997,-1.2438975899653537e-08,-1.3887747421887768e-06,3.5562134259528805e-08
72,40070.2756744661,3946.57768408661,1.1346300578239753e-08,-1.3904766773925782e-06,4.279427011655034e-08
73,38530.3974519658,11688.0682851266,4.293736610395379e-08,-1.3901331314853122e-06,5.10918511186281e-08
74,35509.817663482405,18980.3929767134,8.901529778519317e-08,-1.3879549253998906e-06,7.932685225786139e-08
75,31124.6154963265,25543.3118105322,1.232384996261682e-07,-1.3844806866026689e-06,1.2700680529219254e-07
76,25543.3118105322,31124.6154963265,8.368461623611556e-08,-1.3804494045504691e-06,1.7329872767410912e-07
77,18980.3929767134,35509.817663482405,5.2828028137443084e-08,-1.3766322655488648e-06,2.0395299294299826e-07
78,11688.0682851266,38530.3974519658,2.775747371817544e-08,-1.373692355808895e-06,2.155843861701636e-07
79,3946.5776840865997,40070.2756744661,9.471499869624814e-09,-1.3721012924434588e-06,2.2195904051180353e-07
80,-3946.57768408661,40070.2756744661,-9.472252106031242e-09,-1.3721013301854148e-06,2.2195931680592955e-07
81,-11688.0682851266,38530.3974519658,-2.7758540561300143e-08,-1.3736924681259986e-06,2.1558413424472568e-07
82,-18980.3929767134,35509.817663482405,-5.2827984975841714e-08,-1.376632449314979e-06,2.039535866578597e-07
83,-25543.3118105322,31124.615496326398,-8.368948031618482e-08,-1.3804496530843534e-06,1.733000889379862e-07
84,-31124.6154963265,25543.3118105322,-1.2323575572034307e-07,-1.3844809869425983e-06,1.270042416646707e-07
85,-35509.817663482405,18980.3929767134,-8.902551673021662e-08,-1.3879552536856925e-06,7.93168480719032e-08
86,-38530.3974519658,11688.0682851266,-4.293760116308207e-08,-1.390133447877231e-06,5.109588553632274e-08
87,-40070.2756744661,3946.5776840865997,-1.1344800693937932e-08,-1.3904769276966392e-06,4.2793713809038765e-08
88,-40070.2756744661,-3946.57768408661,1.2458290356106236e-08,-1.3887748752046804e-06,3.557539456769176e-08
