X (m),Y (m)
65.15917318,-32.65733591
67.79045251,-26.77076741
69.89117963,-20.67468135
71.44491351,-14.41678787
72.43949407,-8.046063489
72.86713738,-1.612367748
72.72449653,4.833946957
72.0126879,11.24242947
70.73728235,17.56292474
68.90826165,23.7459663
66.53994038,29.74316348
63.65085385,35.50758008
60.26361309,40.99410172
56.40472785,46.15978894
52.10439914,50.96421322
47.39628287,55.36977343
42.31722641,59.34199009
36.90698028,62.84977522
31.20788699,65.86567565
25.26454968,68.36608786
19.123483,70.33144273
12.83274915,71.74635871
6.441581628,72.59976216
4.46E-15,72.88497403
-6.441581628,72.59976216
-12.83274915,71.74635871
-19.123483,70.33144273
-25.26454968,68.36608786
-3.12E+01,65.86567565
-36.90698028,62.84977522
-42.31722641,59.34199009
-47.39628287,55.36977343
-52.10439914,50.96421322
-56.40472785,46.15978894
-60.26361309,40.99410172
-63.65085385,35.50758008
-66.53994038,29.74316348
-68.90826165,23.7459663
-70.73728235,17.56292474
-72.0126879,11.24242947
-72.72449653,4.833946957
-72.86713738,-1.612367748
-72.43949407,-8.046063489
-71.44491351,-14.41678787
-69.89117963,-20.67468135
-67.79045251,-26.77076741
-65.15917318,-32.65733591
-62.01793498,-38.28831649
-58.39132235,-43.61963907
-54.30771845,-48.60957884
-49.79908303,-53.21908275
-44.90070225,-57.41207518
-39.65091261,-61.15574027
-34.09080081,-64.42077878
-28.26388227,-67.18163736
-22.21576054,-69.41670853
-15.99377035,-71.10849984
-9.646607231,-72.24377072
-3.223946327,-72.81363615
7.42E-14,-78.18817966
6.910279497,-77.8822154
13.76647669,-76.96671721
20.51493253,-75.4488501
27.10283121,-73.34049345
33.4786135,-70.65814799
39.59238023,-67.42280672
45.39628292,-63.65979057
50.84489813,-59.39855026
55.89558308,-54.67243574
60.50880931,-49.5184353
64.64847207,-43.97688595
68.28217287,-38.09115785
71.3814731,-31.90731479
73.92211651,-25.47375373
75.88421914,-18.84082601
77.25242486,-12.06044328
78.01602561,-5.185671233
78.16904519,1.729685725
77.710286,8.631505547
76.64333846,15.46577214
74.97655288,22.17899809
72.72297412,28.71864331
69.90023949,35.03352621
66.5304407,41.07422426
62.63995101,46.79346082
58.25921878,52.14647511
53.42252916,57.09137252
48.16773583,61.58945254
42.53596465,65.60551158
36.57129188,69.10811855
30.32039916,72.06986078
23.83220821,74.46755865
17.15749791,76.28244689
10.34850694,77.50032157
3.458524861,78.11165114
-3.458524861,78.11165114
-10.34850694,77.50032157
-17.15749791,76.28244689
-23.83220821,74.46755865
-30.32039916,72.06986078
-36.57129188,69.10811855
-42.53596465,65.60551158
-48.16773583,61.58945254
-53.42252916,57.09137252
-58.25921878,52.14647511
-62.63995101,46.79346082
-66.5304407,41.07422426
-69.90023949,35.03352621
-72.72297412,28.71864331
-74.97655288,22.17899809
-76.64333846,15.46577214
-77.710286,8.631505547
-78.16904519,1.729685725
-78.01602561,-5.185671233
-77.25242486,-12.06044328
-75.88421914,-18.84082601
-73.92211651,-25.47375373
-71.3814731,-31.90731479
-68.28217287,-38.09115785
-64.64847207,-43.97688595
-60.50880931,-49.5184353
-55.89558308,-54.67243574
-50.84489813,-59.39855026
-45.39628292,-63.65979057
-39.59238023,-67.42280672
-33.4786135,-70.65814799
-27.10283121,-73.34049345
-20.51493253,-75.4488501
-13.76647669,-76.96671721
-6.910279497,-77.8822154
3.704838319,-83.67470236
11.08551957,-83.01983437
18.37944161,-81.7152236
25.52951959,-79.77108042
32.47979447,-77.20262038
39.17587092,-74.02994516
45.56534306,-70.27788524
51.59820462,-65.97580558
57.22724026,-61.1573758
62.40839516,-55.86030662
67.10111975,-50.12605481
71.26868709,-43.99949866
74.87848033,-37.52858677
77.90224794,-30.76396281
80.31632484,-23.75856913
82.10181759,-16.56723243
83.24475231,-9.246234678
83.73618397,-1.852872601
83.57226646,5.554990717
82.75428265,12.9193787
81.28863437,20.18265503
79.18679232,27.28797472
76.46520625,34.17972901
73.14517627,40.80398057
69.25268611,47.10888567
64.81819979,53.04509986
59.87642316,58.56616422
54.46603235,63.62886894
48.62937098,68.19359149
42.41211885,72.22460673
35.86293439,75.69036649
29.03307384,78.56374651
21.97599012,80.8222587
14.74691448,82.44822712
7.402424243,83.42892638
5.13E-15,83.75668118
-7.402424243,83.42892638
-14.74691448,82.44822712
-21.97599012,80.8222587
-29.03307384,78.56374651
-35.86293439,75.69036649
-42.41211885,72.22460673
-48.62937098,68.19359149
-54.46603235,63.62886894
-59.87642316,58.56616422
-64.81819979,53.04509986
-69.25268611,47.10888567
-73.14517627,40.80398057
-76.46520625,34.17972901
-79.18679232,27.28797472
-81.28863437,20.18265503
-82.75428265,12.9193787
-83.57226646,5.554990717
-83.73618397,-1.852872601
-83.24475231,-9.246234678
-82.10181759,-16.56723243
-80.31632484,-23.75856913
-77.90224794,-30.76396281
-74.87848033,-37.52858677
-71.26868709,-43.99949866
-67.10111975,-50.12605481
-62.40839516,-55.86030662
-57.22724026,-61.1573758
-51.59820462,-65.97580558
-45.56534306,-70.27788524
-39.17587092,-74.02994516
-32.47979447,-77.20262038
-25.52951959,-79.77108042
-18.37944161,-81.7152236
-11.08551957,-83.01983437
-3.704838319,-83.67470236
8.51E-14,-89.60942873
7.919690684,-89.25877109
15.77739905,-88.20954255
23.51162788,-86.46995474
31.06184634,-84.05362229
38.36896374,-80.97945628
45.37579197,-77.27151623
52.02749311,-72.9588218
58.27200858,-68.07512567
64.06046657,-62.65864937
69.34756455,-56.75178419
74.09192381,-50.40075936
78.25641331,-43.65528024
81.80844028,-36.56813937
84.72020528,-29.19480322
86.9689198,-21.59297816
88.53698462,-13.82215877
89.41212748,-5.943162238
89.58749922,1.982347592
89.0617273,9.892342865
87.83892662,17.72491714
85.92866724,25.41876991
83.34589954,32.91368634
80.11083716,40.15100855
76.24879887,47.07409467
71.79001034,53.62876219
66.76936764,59.76371192
61.22616412,65.43092958
55.20378284,70.5860615
48.74935712,75.18876178
41.91340158,79.20300806
34.74941685,82.59738341
27.31347081,85.34532225
19.66375983,87.42531823
11.86015327,88.82109255
3.963724931,89.5217214
-3.963724931,89.5217214
-11.86015327,88.82109255
-19.66375983,87.42531823
-27.31347081,85.34532225
-34.74941685,82.59738341
-41.91340158,79.20300806
-48.74935712,75.18876178
-55.20378284,70.5860615
-61.22616412,65.43092958
-66.76936764,59.76371192
-71.79001034,53.62876219
-76.24879887,47.07409467
-80.11083716,40.15100855
-83.34589954,32.91368634
-85.92866724,25.41876991
-87.83892662,17.72491714
-89.0617273,9.892342865
-89.58749922,1.982347592
-89.41212748,-5.943162238
-88.53698462,-13.82215877
-86.9689198,-21.59297816
-84.72020528,-29.19480322
-81.80844028,-36.56813937
-78.25641331,-43.65528024
-74.09192381,-50.40075936
-69.34756455,-56.75178419
-64.06046657,-62.65864937
-58.27200858,-68.07512567
-52.02749311,-72.9588218
-45.37579197,-77.27151623
-38.36896374,-80.97945628
-31.06184634,-84.05362229
-23.51162788,-86.46995474
-15.77739905,-88.20954255
-7.919690684,-89.25877109
